num	aa	ab	ac	ba	bb	bc	ca	cb	cc
13047	-1	1	-1	-1	1	1	1	1	0
13048	0	1	-1	-1	1	1	1	1	0
13049	1	1	-1	-1	1	1	1	1	0
13061	1	-1	1	-1	1	1	1	1	0
13113	-1	-1	1	1	1	1	1	1	0
13114	0	-1	1	1	1	1	1	1	0
13735	0	-1	1	0	0	1	-1	-1	1
14091	-1	1	1	1	1	-1	0	-1	1
14383	0	-1	1	0	-1	1	0	-1	1
14411	1	-1	1	1	-1	1	0	-1	1
14492	1	-1	1	1	0	1	0	-1	1
14505	-1	1	-1	-1	1	1	0	-1	1
14506	0	1	-1	-1	1	1	0	-1	1
14571	-1	-1	1	1	1	1	0	-1	1
14572	0	-1	1	1	1	1	0	-1	1
14634	-1	-1	-1	1	-1	-1	1	-1	1
14712	-1	1	1	0	0	-1	1	-1	1
14793	-1	1	1	0	1	-1	1	-1	1
14820	-1	1	1	1	1	-1	1	-1	1
15139	0	-1	1	1	-1	1	1	-1	1
15192	-1	-1	1	0	0	1	1	-1	1
15194	1	-1	1	0	0	1	1	-1	1
15220	0	-1	1	1	0	1	1	-1	1
15221	1	-1	1	1	0	1	1	-1	1
15234	-1	1	-1	-1	1	1	1	-1	1
15235	0	1	-1	-1	1	1	1	-1	1
15300	-1	-1	1	1	1	1	1	-1	1
15301	0	-1	1	1	1	1	1	-1	1
15302	1	-1	1	1	1	1	1	-1	1
16173	-1	-1	-1	1	0	-1	0	0	1
16174	0	-1	-1	1	0	-1	0	0	1
16175	1	-1	-1	1	0	-1	0	0	1
16255	0	-1	-1	1	1	-1	0	0	1
16256	1	-1	-1	1	1	-1	0	0	1
16530	-1	1	-1	-1	-1	1	0	0	1
16598	1	-1	1	1	-1	1	0	0	1
16624	0	-1	1	-1	0	1	0	0	1
16650	-1	-1	1	0	0	1	0	0	1
16678	0	-1	1	1	0	1	0	0	1
16679	1	-1	1	1	0	1	0	0	1
16692	-1	1	-1	-1	1	1	0	0	1
16693	0	1	-1	-1	1	1	0	0	1
16705	0	-1	1	-1	1	1	0	0	1
16758	-1	-1	1	1	1	1	0	0	1
16759	0	-1	1	1	1	1	0	0	1
16760	1	-1	1	1	1	1	0	0	1
16902	-1	-1	-1	1	0	-1	1	0	1
16903	0	-1	-1	1	0	-1	1	0	1
16904	1	-1	-1	1	0	-1	1	0	1
16983	-1	-1	-1	1	1	-1	1	0	1
16984	0	-1	-1	1	1	-1	1	0	1
16985	1	-1	-1	1	1	-1	1	0	1
17259	-1	1	-1	-1	-1	1	1	0	1
17407	0	-1	1	1	0	1	1	0	1
17408	1	-1	1	1	0	1	1	0	1
17421	-1	1	-1	-1	1	1	1	0	1
17422	0	1	-1	-1	1	1	1	0	1
17487	-1	-1	1	1	1	1	1	0	1
17488	0	-1	1	1	1	1	1	0	1
18226	0	-1	-1	-1	-1	-1	0	1	1
18360	-1	-1	-1	1	0	-1	0	1	1
18361	0	-1	-1	1	0	-1	0	1	1
18362	1	-1	-1	1	0	-1	0	1	1
18442	0	-1	-1	1	1	-1	0	1	1
18443	1	-1	-1	1	1	-1	0	1	1
18784	0	-1	1	1	-1	1	0	1	1
18865	0	-1	1	1	0	1	0	1	1
18866	1	-1	1	1	0	1	0	1	1
18879	-1	1	-1	-1	1	1	0	1	1
18880	0	1	-1	-1	1	1	0	1	1
18945	-1	-1	1	1	1	1	0	1	1
18946	0	-1	1	1	1	1	0	1	1
18947	1	-1	1	1	1	1	0	1	1
19089	-1	-1	-1	1	0	-1	1	1	1
19090	0	-1	-1	1	0	-1	1	1	1
19091	1	-1	-1	1	0	-1	1	1	1
19170	-1	-1	-1	1	1	-1	1	1	1
19171	0	-1	-1	1	1	-1	1	1	1
19172	1	-1	-1	1	1	-1	1	1	1
19594	0	-1	1	1	0	1	1	1	1
19595	1	-1	1	1	0	1	1	1	1
19608	-1	1	-1	-1	1	1	1	1	1
19609	0	1	-1	-1	1	1	1	1	1
19674	-1	-1	1	1	1	1	1	1	1
19675	0	-1	1	1	1	1	1	1	1
